"BTC
Bitcoin","ETH
Ethereum","BNB
BNB","XRP
XRP","USDT
Tether","ADA
Cardano","DOT
Polkadot","LTC
Litecoin","UNI
Uniswap","LINK
ChainLink","XLM
Stellar","BCH
Bitcoin Cash","THETA
Theta Token","FIL
Filecoin","USDC
USD Coin","DOGE
Dogecoin","TRX
TRON","VET
VeChain","WBTC
Wrapped Bitcoin",Time
59833.26,2147.55,502.11,1.36,1.0,1.27,41.22,250.42,30.33,34.05,60.197,676.78,12.48,177.81,1.0,74.5,141.373,59801.16,121.67,95
59848.3,2151.42,502.4,1.37,1.0,1.26,41.28,250.69,30.29,34.17,60.387,680.23,12.52,177.8,1.0,75.082,141.836,59835.15,121.85,100
60003.75,2154.32,503.36,1.37,1.0,1.26,41.36,250.1,30.38,34.05,60.612,681.71,12.52,176.8,1.0,75.483,140.919,59988.6,121.23,105
59966.22,2155.33,499.66,1.38,1.0,1.27,41.22,251.84,30.28,33.92,60.819,682.39,12.53,177.79,1.0,74.122,140.841,59958.7,121.73,110
59807.68,2155.09,499.92,1.36,1.0,1.26,41.22,250.89,30.27,33.95,601.0,683.34,12.46,177.94,1.0,74.313,140.204,59796.55,121.15,111
59696.19,2142.84,499.69,1.4,1.0,1.26,41.02,250.31,30.26,33.74,60.375,682.2,12.44,177.1,1.0,73.708,139.005,59670.41,121.24,115
59689.47,2144.18,500.39,1.41,1.0,1.26,41.01,250.25,30.31,33.78,59.948,682.66,12.34,176.85,1.0,74.174,139.358,122.29,59691.7,117
59755.05,2146.54,501.43,1.4,1.0,1.27,41.1,251.4,30.28,33.79,60.059,682.53,12.38,176.68,1.0,75.431,140.601,121.98,59724.24,119
59640.89,2143.87,502.84,1.39,1.0,1.27,41.26,249.72,30.29,34.03,60.568,680.0,12.37,176.72,1.0,75.962,140.093,122.03,59630.83,121
59576.82,2143.47,504.1,1.39,1.0,1.27,41.48,250.5,30.35,33.94,61.112,680.31,12.36,176.18,1.0,75.868,140.276,122.7,59556.54,125
59643.67,2141.28,502.26,1.4,1.0,1.27,41.36,249.19,30.37,33.82,61.272,679.57,12.31,176.4,1.0,75.478,141.862,122.61,59616.85,130
59576.32,2135.72,502.53,1.4,1.0,1.27,41.17,247.79,30.29,33.61,61.263,676.42,12.27,176.34,1.0,77.107,140.093,122.62,59547.53,135
59616.94,2135.63,504.35,1.38,1.0,1.27,41.05,248.01,30.31,33.71,60.204,676.14,12.21,177.46,1.0,78.246,141.454,59608.71,121.26,145
59577.15,2134.37,508.14,1.37,1.0,1.27,41.08,247.21,30.28,33.69,59.976,673.91,12.22,177.32,1.0,78.223,140.825,121.54,59557.62,155
59583.96,2134.14,514.58,1.36,1.0,1.28,41.11,247.31,30.38,33.56,59.662,673.76,12.21,176.69,1.0,76.091,140.405,59564.93,120.78,165
60029.47,2143.56,513.14,1.37,1.0,1.29,41.32,250.09,30.6,33.85,60.293,680.02,12.25,176.48,1.0,75.709,141.174,60025.12,120.78,175
59822.7,2137.13,519.76,1.37,1.0,1.29,41.3,248.88,30.58,33.91,59.949,682.11,12.25,177.62,1.0,75.55,140.745,59818.59,121.35,185
60086.96,2144.86,523.21,1.37,1.0,1.28,41.83,250.12,29.97,34.21,59.977,686.92,12.24,177.96,1.0,74.257,139.723,60027.18,121.59,195
59916.42,2142.01,520.74,1.36,1.0,1.28,41.48,248.86,29.96,33.92,59.375,687.33,12.22,179.63,1.0,74.577,139.933,59914.46,121.48,200
59919.36,2141.75,518.59,1.36,1.0,1.27,41.26,248.74,29.88,33.8,59.342,688.8,12.19,179.9,1.0,75.88,140.204,59892.19,121.94,205
59950.22,2142.07,519.59,1.35,1.0,1.26,41.26,252.48,29.83,33.72,58.601,685.48,12.19,178.24,1.0,75.226,138.951,59956.25,121.0,215
60049.81,2152.89,526.15,1.35,1.0,1.27,41.34,253.03,29.93,33.91,5.841,690.27,12.21,179.16,1.0,74.334,139.545,122.19,59980.79,222
59885.91,2148.63,524.31,1.35,1.0,1.27,41.17,250.96,29.92,33.8,59.078,685.32,12.22,178.65,1.0,73.229,12.437,137.915,59860.84,230
59710.95,2140.38,524.49,1.34,1.0,1.27,41.04,249.18,29.88,33.6,60.274,682.93,12.21,177.82,1.0,73.251,12.404,137.876,59687.88,237
59708.49,2138.99,523.38,1.33,1.0,1.28,40.98,249.39,29.86,33.53,59.853,681.35,12.22,177.15,1.0,73.634,12.489,137.453,59681.42,245
59756.0,2138.71,524.28,1.32,1.0,1.28,40.98,249.27,29.79,33.5,58.947,679.46,12.21,177.41,1.0,74.875,12.642,137.216,59738.18,256
59760.0,2137.31,524.77,1.33,1.0,1.28,41.03,249.3,29.77,33.52,58.992,680.47,12.21,177.62,1.0,74.397,12.653,137.187,59740.88,259
59854.73,2138.81,523.87,1.34,1.0,1.28,40.96,248.81,29.6,33.47,59.124,680.45,12.23,177.45,1.0,74.664,12.844,136.486,59807.12,265
59856.73,2140.01,519.16,1.35,1.0,1.27,40.87,250.41,29.64,33.56,58.818,681.99,12.28,177.56,1.0,74.077,12.947,136.695,59843.73,268
59916.94,2142.21,519.45,1.35,1.0,1.28,40.97,250.02,29.64,33.61,59.115,682.66,12.33,177.55,1.0,73.42,13.079,136.731,59897.76,278
59977.0,2142.66,516.67,1.35,1.0,1.28,40.98,250.11,29.72,33.62,59.303,682.83,12.33,177.57,1.0,7.294,13.037,136.826,59960.64,280
60034.47,2149.54,518.1,1.35,1.0,1.28,41.06,251.48,29.74,33.71,59.559,684.64,12.31,178.27,1.0,73.221,13.042,136.818,60064.54,295
59861.74,2145.82,520.65,1.35,1.0,1.28,41.03,252.02,29.9,33.62,59.836,686.1,12.33,177.47,1.0,73.252,13.165,136.457,59847.97,300
59934.07,2149.65,522.49,1.35,1.0,1.28,41.07,254.5,29.95,33.66,59.455,688.81,12.31,177.62,1.0,73.325,13.208,136.477,59922.5,301
59937.03,2149.01,522.97,1.36,1.0,1.29,40.91,254.34,29.95,33.68,59.701,688.4,12.24,178.14,1.0,73.261,13.099,136.661,59921.44,305
59840.08,2144.87,521.15,1.37,1.0,1.29,40.95,253.83,29.97,33.66,59.521,686.92,12.24,178.15,1.0,73.635,13.093,136.182,59818.5,310
59797.68,2140.46,521.1,1.35,1.0,1.3,40.87,252.28,29.96,33.47,59.089,683.18,12.18,177.63,1.0,73.265,13.123,136.108,59778.53,320
59849.99,2140.36,520.47,1.35,1.0,1.31,40.77,252.67,29.96,33.45,58.897,683.13,12.13,177.39,1.0,73.178,13.115,136.466,59810.88,330
59848.06,2139.36,519.86,1.34,1.0,1.32,40.84,253.66,29.94,33.41,5.872,682.2,12.13,177.42,1.0,13.387,73.127,135.826,59830.04,335
59747.63,2136.41,523.24,1.34,1.0,1.32,40.76,252.39,29.9,33.29,58.743,680.72,12.13,177.01,1.0,13.189,72.605,135.699,59738.17,345
59641.79,2132.56,521.4,1.34,1.0,1.31,40.64,251.07,29.86,33.21,58.514,678.08,12.11,177.43,1.0,13.146,72.558,135.218,59603.53,357
59691.12,2135.71,523.88,1.34,999.926,1.31,40.68,250.18,29.83,33.22,58.491,678.38,12.16,177.11,1.0,13.196,72.653,136.903,59668.82,368
59810.35,2139.92,537.15,1.34,999.926,1.31,40.76,249.97,29.87,33.32,58.614,679.85,12.18,176.98,1.0,13.182,73.085,137.367,59792.0,370
59811.03,2140.25,543.66,1.33,999.926,1.31,40.85,250.86,30.11,33.4,58.079,680.85,12.15,177.19,1.0,13.321,72.536,137.414,59800.22,371
60000.0,2145.95,547.42,1.34,999.926,1.32,40.97,252.16,30.3,33.36,5.851,684.35,12.19,177.5,1.0,13.462,72.764,138.887,59986.45,380
60199.98,2147.37,543.47,1.35,999.926,1.32,40.97,252.33,30.21,33.3,58.276,683.9,12.23,177.61,1.0,13.413,73.172,138.181,60168.49,390
60265.0,2150.39,546.4,1.35,999.926,1.33,41.06,253.03,30.21,33.39,58.369,685.41,12.24,178.05,1.0,1.336,72.927,139.291,60242.8,395
60407.01,2152.13,549.25,1.34,999.965,1.32,41.0,253.4,30.24,33.36,58.386,685.17,12.22,178.59,1.0,13.259,72.769,139.029,60380.56,405
60589.01,2161.21,560.46,1.35,999.965,1.32,41.26,254.98,30.3,33.55,59.268,692.59,12.23,178.72,1.0,13.258,72.757,138.645,60564.07,410
60450.31,2156.69,557.84,1.35,999.965,1.31,41.28,254.82,30.31,33.59,59.195,691.58,12.25,178.95,1.0,13.357,72.745,138.767,60434.63,415
60244.86,2158.1,572.29,1.35,999.965,1.31,41.33,253.04,30.81,33.66,584.37,690.79,12.17,179.11,1.0,13.342,72.105,138.52,60227.99,420
60121.41,2152.64,571.96,1.34,999.965,1.32,41.38,252.24,31.07,33.54,58.568,687.76,12.19,178.96,1.0,13.353,72.129,137.745,60105.78,425
60107.0,2151.68,573.74,1.34,999.965,1.31,41.37,252.13,31.08,33.54,58.564,687.01,12.19,178.91,1.0,13.359,72.093,137.8,60101.97,430
60103.01,2152.7,568.5,1.34,999.205,1.33,41.43,251.71,30.97,33.54,58.452,685.63,12.21,178.62,1.0,13.461,72.2,137.722,60100.69,435
60081.23,2152.49,568.5,1.34,999.205,1.33,41.41,251.97,30.95,33.52,58.515,685.93,12.21,178.48,1.0,13.485,72.206,137.722,60068.95,440
60075.6,2150.67,564.39,1.34,999.205,1.33,41.31,251.91,31.07,33.45,58.321,685.14,12.18,178.85,1.0,13.305,71.975,137.274,60051.31,445
60238.32,2154.96,560.58,1.35,999.205,1.33,41.5,253.16,31.22,33.46,58.291,687.0,12.19,178.4,1.0,13.346,71.822,137.657,60239.19,450
60192.08,2153.87,557.62,1.34,999.205,1.33,41.43,252.77,31.3,33.46,58.248,686.96,12.17,178.78,1.0,13.358,72.244,137.671,60162.71,455
60148.01,2150.01,557.15,1.33,999.205,1.35,41.34,252.49,31.2,33.45,58.088,686.34,12.19,178.73,1.0,13.335,72.191,137.46,60136.37,460
60119.16,2149.5,562.06,1.34,999.205,1.34,41.32,252.16,31.26,33.54,58.042,685.81,12.19,178.88,1.0,13.404,72.526,137.6,60106.77,465
60089.22,2147.76,566.94,1.34,999.205,1.33,41.17,251.85,31.38,33.53,58.109,686.44,12.17,178.87,1.0,13.464,71.919,137.419,60076.55,470
60171.6,2149.83,567.61,1.34,999.205,1.33,41.26,252.6,31.51,33.51,58.002,687.64,12.16,178.6,1.0,13.565,71.698,137.525,60162.82,475
60157.95,2148.02,566.33,1.34,999.205,1.33,41.16,252.46,31.4,33.53,58.082,687.03,12.17,178.67,1.0,13.551,71.921,137.066,60147.79,480
60145.1,2147.6,565.03,1.33,999.205,1.33,41.12,252.42,31.36,33.47,58.125,687.21,12.16,178.43,1.0,13.688,72.235,137.022,60144.81,485
60131.01,2144.38,560.83,1.34,999.205,1.32,41.17,253.58,31.46,33.4,57.645,686.87,12.17,179.13,1.0,13.707,71.99,137.563,60127.37,490
60147.91,2145.49,557.61,1.34,999.172,1.32,41.18,253.33,31.6,33.39,57.556,687.67,12.18,178.82,1.0,13.588,71.675,137.586,60140.0,495
60129.55,2144.52,560.28,1.34,999.172,1.32,41.25,253.79,31.41,33.39,57.649,688.08,12.16,178.79,1.0,13.548,71.614,137.617,60118.77,500
60213.08,2148.22,560.35,1.33,999.172,1.31,41.29,253.84,31.27,33.42,57.338,688.3,12.14,179.21,1.0,13.471,71.651,137.583,60189.58,505
60223.12,2149.95,563.32,1.34,999.172,1.32,41.22,253.91,31.29,33.36,57.595,687.42,12.18,181.03,1.0,13.471,71.76,137.962,60204.14,510
60263.8,2150.99,561.39,1.33,999.172,1.31,41.28,253.79,31.37,33.45,57.405,687.63,12.18,180.82,1.0,13.421,71.82,138.037,60244.93,515
60262.3,2151.38,557.39,1.34,999.172,1.31,41.24,253.74,31.33,33.45,57.627,687.0,12.18,180.4,1.0,13.362,71.713,138.219,60239.06,520
60394.07,2155.23,562.23,1.33,999.172,1.32,41.32,255.36,31.57,33.55,57.475,688.14,12.22,180.69,1.0,13.487,71.972,137.732,60379.47,525
60380.92,2153.93,562.98,1.33,999.172,1.31,41.48,256.87,31.63,33.54,57.894,689.93,12.22,180.09,1.0,13.367,71.914,137.0,60365.83,530
60426.83,2160.11,564.28,1.33,999.172,1.31,41.45,257.16,31.61,33.64,57.793,690.22,12.24,180.13,1.0,13.452,71.623,136.865,60428.03,535
60365.84,2158.31,562.99,1.33,999.172,1.32,41.37,255.79,31.76,33.62,57.904,689.89,12.23,180.2,1.0,13.459,71.456,136.847,60342.84,540
60632.22,2179.94,566.38,1.33,999.172,1.33,41.63,256.43,31.93,33.85,58.165,693.14,12.31,179.95,1.0,13.535,71.368,136.646,60592.99,545
60777.38,2183.34,566.24,1.33,999.172,1.32,41.6,257.07,31.92,33.88,58.188,693.57,12.31,180.19,1.0,13.559,71.314,136.77,60753.93,550
60729.77,2180.58,564.87,1.34,999.887,1.31,41.6,256.05,31.76,33.68,5.843,692.71,12.23,179.65,1.0,13.419,71.636,136.789,60717.48,555
60768.1,2183.63,566.55,1.35,999.887,1.31,41.75,255.84,31.98,33.72,58.576,693.09,12.24,179.75,1.0,13.425,71.785,136.993,60750.15,560
60876.31,2186.57,570.66,1.35,999.887,1.31,41.57,255.29,31.92,33.67,58.826,692.3,12.25,179.12,1.0,13.351,71.953,136.301,60841.23,565
60966.86,2185.92,574.66,1.35,999.887,1.31,41.66,255.29,31.81,33.66,59.278,691.18,12.24,179.31,1.0,13.307,71.675,136.399,60979.26,570
60917.01,2180.57,578.89,1.35,999.887,1.31,41.71,254.84,31.76,33.63,59.299,690.87,12.22,179.5,1.0,13.246,71.56,136.232,60886.12,575
61090.29,2194.26,580.12,1.36,999.887,1.31,41.72,255.06,31.7,33.68,59.454,691.63,12.21,179.6,1.0,13.17,71.58,136.2,61059.36,580
61140.08,2197.18,577.4,1.4,999.887,1.3,41.45,254.91,31.69,33.63,59.999,693.64,12.17,179.3,1.0,13.061,71.541,135.426,61117.25,585
60960.37,2191.52,575.95,1.4,999.887,1.29,41.46,255.98,31.67,33.61,60.531,693.47,12.17,180.14,1.0,72.753,13.072,134.945,60951.15,590
60862.4,2189.6,578.09,1.4,999.887,1.3,41.46,256.22,31.59,33.66,60.047,694.73,12.17,179.73,1.0,73.18,13.132,135.768,60882.27,595
60771.76,2184.38,578.3,1.41,999.887,1.3,41.38,256.07,31.62,33.51,60.315,691.89,12.19,179.69,1.0,73.845,13.135,136.043,60738.54,600
60780.27,2184.21,580.73,1.4,999.887,1.3,41.39,256.19,31.53,33.5,59.792,692.13,12.18,179.66,1.0,73.34,13.041,136.217,60752.37,605
60795.42,2187.73,582.57,1.41,1.0,1.3,41.41,256.76,31.64,33.61,60.135,695.73,12.28,180.32,1.0,73.15,13.094,135.888,60780.54,610
60652.15,2183.05,582.25,1.39,1.0,1.3,41.22,257.48,31.61,33.39,59.421,692.42,12.23,179.73,1.0,13.129,72.658,135.233,60653.52,615
60697.04,2183.86,581.55,1.39,1.0,1.3,41.21,257.89,31.58,33.45,59.489,693.0,12.23,179.71,1.0,73.446,13.128,135.692,60708.65,620
60765.02,2186.11,587.29,1.38,1.0,1.3,41.35,257.36,31.61,33.45,59.249,693.29,12.2,179.55,1.0,73.259,13.142,135.2,60761.36,625
60219.32,2157.01,576.94,1.36,1.0,1.31,40.48,33.3,251.62,32.91,5.825,678.09,12.0,177.47,1.0,12.869,70.483,134.511,60224.88,630
60125.15,2152.86,570.95,1.35,1.0,1.31,40.43,33.81,250.87,32.87,58.256,675.51,12.03,177.48,1.0,12.805,70.468,134.038,60076.62,635
60106.82,2153.21,574.59,1.35,1.0,1.31,40.46,34.05,250.69,32.88,58.299,676.4,12.02,177.41,1.0,12.865,70.744,135.162,60092.2,640
59983.53,2148.05,566.73,1.34,1.0,1.3,40.45,33.87,249.68,32.82,57.971,673.5,11.99,176.55,1.0,12.916,70.266,135.471,59943.59,645
59980.0,2143.51,563.39,1.34,1.0,1.29,40.45,33.74,248.95,32.73,57.972,672.01,11.98,176.13,1.0,12.834,70.242,135.756,59958.27,650
59926.45,2140.13,563.76,1.34,1.0,1.29,40.4,33.53,247.75,32.65,57.942,669.95,11.92,176.33,1.0,12.774,70.276,135.157,59930.31,655
59777.18,2134.46,552.91,1.34,1.0,1.28,40.21,33.16,246.75,32.51,57.869,668.76,11.86,175.86,1.0,1.267,69.553,134.398,59767.24,660
59677.99,2125.94,547.87,1.33,1.0,1.27,40.17,33.22,245.81,32.4,57.431,668.77,11.85,175.37,1.0,12.614,69.068,133.241,59625.48,665
59771.31,2134.5,555.16,1.34,1.0,1.29,40.35,33.46,247.14,32.59,57.662,672.39,11.89,175.13,1.0,1.268,69.307,133.47,59748.64,670
59674.78,2135.3,558.19,1.34,1.0,1.29,40.32,33.69,246.83,32.62,57.587,670.75,11.9,174.56,1.0,1.268,69.145,133.234,59660.53,675
59798.04,2137.75,563.22,1.35,1.0,1.29,40.35,33.78,247.6,32.65,57.988,672.21,11.92,175.11,1.0,12.735,69.365,133.373,59784.58,680
59873.46,2142.01,569.23,1.35,1.0,1.3,40.48,33.57,248.47,32.71,58.179,674.16,11.97,175.5,1.0,12.748,69.765,133.5,59850.76,685
59906.31,2140.08,572.97,1.35,1.0,1.3,40.61,33.47,248.53,32.75,58.527,674.58,12.0,175.89,1.0,12.696,69.476,133.93,59891.81,690
59983.03,2144.46,583.99,1.35,1.0,1.31,40.8,33.42,249.17,32.81,58.477,674.98,12.03,175.84,1.0,12.717,69.727,134.046,59966.24,695
59787.49,2124.3,564.63,1.36,1.0,1.27,39.6,33.86,240.9,32.08,0.57,658.48,11.88,1.0,162.91,12.828,69.712,128.028,59816.17,700
59836.24,2124.94,571.99,1.36,1.0,1.27,39.67,34.6,241.18,32.17,56.967,658.86,11.92,163.16,1.0,12.838,69.687,127.582,59873.37,705
59947.35,2131.13,575.26,1.37,1.0,1.28,39.88,34.74,243.68,32.35,57.063,662.31,11.93,163.29,1.0,12.933,69.971,128.881,59958.11,710
60020.47,2135.36,574.35,1.37,1.0,1.28,39.99,34.64,243.79,32.36,57.328,664.17,11.95,165.4,1.0,13.011,70.281,130.228,60058.21,715
59954.98,2133.5,573.43,1.36,1.0,1.28,39.88,34.6,243.25,32.38,57.197,663.39,11.94,164.66,1.0,12.966,70.071,129.96,59965.96,720
59910.35,2129.0,570.98,1.37,1.0,1.28,39.82,34.94,243.95,32.3,57.268,665.71,11.92,163.01,1.0,12.922,69.8,130.134,59938.2,725
59891.13,2112.01,569.85,1.36,1.0,1.27,39.69,35.7,243.11,32.12,5.715,657.49,11.9,1.0,161.85,12.851,69.564,129.359,59937.74,730
59764.56,2107.86,566.0,1.35,1.0,1.27,39.52,35.57,241.05,31.88,56.873,653.11,11.85,1.0,160.71,12.746,68.9,127.285,59782.23,735
59920.66,2121.08,570.39,1.36,1.0,1.29,39.72,36.44,242.62,32.23,56.912,662.73,11.91,1.0,161.25,12.806,69.4,128.445,59962.27,740
60083.92,2129.31,576.68,1.37,1.0,1.3,40.0,36.29,244.07,32.45,57.208,667.11,11.94,164.07,1.0,12.899,69.814,129.088,60107.49,745
59981.88,2128.0,578.18,1.36,1.0,1.3,40.0,36.33,244.64,32.43,57.154,665.81,11.93,164.2,1.0,12.889,69.872,129.576,60004.66,750
59980.52,2130.85,578.63,1.36,1.0,1.29,40.09,36.11,244.19,32.42,57.054,665.35,11.91,164.3,1.0,1.292,69.859,129.1,59976.83,755
60084.34,2136.02,582.41,1.37,1.0,1.3,40.32,36.72,245.16,32.48,57.305,668.15,11.93,164.55,1.0,1.303,70.024,129.531,60072.33,760
60050.75,2129.71,581.01,1.36,1.0,1.3,40.23,36.72,245.61,32.45,57.307,668.71,11.95,165.3,1.0,13.036,70.166,129.824,60080.14,765
60048.16,2126.99,576.71,1.35,1.0,1.3,40.22,36.88,245.0,32.49,56.911,667.61,11.96,164.16,1.0,12.994,69.89,129.695,60038.83,770
60031.98,2128.0,575.74,1.36,1.0,1.3,40.29,36.73,246.05,32.47,57.033,666.95,11.94,164.53,1.0,13.057,70.221,129.665,60079.32,775
59954.35,2127.16,576.53,1.36,1.0,1.3,40.25,37.24,245.51,32.5,56.893,666.61,11.94,164.34,1.0,13.193,70.268,129.688,59981.46,780
59801.98,2121.79,572.63,1.35,1.0,1.29,40.16,36.84,244.48,32.39,56.776,665.41,11.92,163.62,1.0,13.198,70.036,128.6,59808.13,785
59881.14,2126.48,574.39,1.35,1.0,1.29,40.25,36.52,244.91,32.5,56.886,666.05,11.98,164.24,1.0,13.357,7.048,128.887,59887.78,790
59877.14,2126.01,575.59,1.36,1.0,1.28,40.23,36.19,244.45,32.52,56.874,665.74,11.98,163.85,1.0,13.375,70.599,128.962,59898.2,795
59869.0,2126.2,579.64,1.36,1.0,1.29,40.16,36.07,243.83,32.5,56.899,666.22,12.0,163.7,1.0,13.319,70.969,128.975,59875.37,800
59900.99,2125.94,579.64,1.36,1.0,1.29,40.29,36.05,244.56,32.55,57.151,667.43,12.0,164.28,1.0,13.282,7.109,129.351,59909.39,805
59832.39,2124.47,580.0,1.36,1.0,1.29,40.22,35.88,243.71,32.51,57.037,667.27,11.98,164.22,1.0,13.396,70.709,128.919,59866.1,810
59821.85,2123.9,581.76,1.36,1.0,1.29,40.18,35.98,243.72,32.54,57.128,665.47,12.01,164.2,1.0,13.296,70.474,128.316,59831.29,815
59769.86,2120.96,582.55,1.36,1.0,1.29,40.16,36.14,243.1,32.47,5.716,664.65,12.0,164.11,1.0,13.201,70.454,128.279,59780.64,820
59823.0,2124.81,585.39,1.36,1.0,1.29,40.28,36.29,243.56,32.46,5.726,666.06,12.02,164.09,1.0,13.208,7.083,128.195,59835.98,825
59847.64,2125.37,586.52,1.37,1.0,1.3,40.31,36.25,244.1,32.55,57.489,665.77,12.04,164.97,1.0,13.235,71.224,128.096,59857.22,830
59792.11,2122.35,585.49,1.36,1.0,1.3,40.28,36.12,243.88,32.51,57.424,665.63,12.03,165.3,1.0,13.226,70.946,127.778,59812.74,835
59705.01,2117.51,582.74,1.36,1.0,1.29,40.18,36.55,242.9,32.43,57.325,664.73,12.0,165.01,1.0,13.151,71.088,127.651,59736.45,840
59760.32,2118.19,584.9,1.36,1.0,1.3,40.26,36.73,243.1,32.5,57.345,664.74,12.02,166.87,1.0,13.127,7.128,128.331,59779.3,845
59853.38,2124.09,582.81,1.36,1.0,1.3,40.27,36.54,244.16,32.61,57.497,669.58,12.08,166.93,1.0,13.198,71.538,128.706,59862.95,850
59870.23,2127.02,581.46,1.36,1.0,1.3,40.28,36.38,244.81,32.67,57.478,669.98,12.06,166.71,1.0,13.164,71.456,128.852,59895.97,855
59882.93,2127.4,579.39,1.36,1.0,1.3,40.24,36.77,244.56,32.67,57.236,668.35,12.04,166.37,1.0,1.314,71.304,129.012,59906.34,860
59780.11,2121.6,576.0,1.35,1.0,1.29,40.12,36.54,243.08,32.53,57.029,665.74,12.01,165.55,1.0,13.075,71.153,127.799,59788.96,865
60100.01,2140.08,580.2,1.39,1.0,1.3,40.39,36.64,244.46,32.82,57.318,671.78,12.16,166.43,1.0,13.564,7.125,130.874,60105.16,870
60028.33,2138.64,581.99,1.4,1.0,1.3,40.37,36.74,243.68,32.79,57.386,671.49,12.12,166.55,1.0,13.521,7.142,130.9,60040.8,875
60008.14,2137.93,582.11,1.39,1.0,1.31,40.36,36.95,243.21,32.78,57.367,671.06,12.13,166.87,1.0,13.546,71.233,130.807,59997.61,880
60015.96,2140.0,582.01,1.39,1.0,1.3,40.38,37.2,243.49,32.88,57.282,672.09,12.14,167.03,1.0,13.422,71.192,129.938,59991.98,885
60002.65,2140.05,582.0,1.39,1.0,1.31,40.47,36.95,243.39,32.87,57.219,672.72,12.14,167.32,1.0,1.351,70.914,130.213,60020.25,890
60067.9,2141.4,585.33,1.38,1.0,1.31,40.59,36.85,243.54,32.93,57.276,673.87,12.17,167.62,1.0,1.346,7.093,130.36,60043.33,895
59962.18,2145.73,600.24,1.45,999.831,1.33,40.54,37.12,246.36,33.18,59.151,671.5,12.19,167.01,1.0,72.406,12.989,129.114,59974.28,900
60229.22,2155.29,602.17,1.46,999.831,1.33,40.71,36.85,247.9,33.35,58.966,678.46,12.06,167.76,1.0,725.0,13.001,129.916,60232.85,905
60231.28,2154.98,599.18,1.45,999.831,1.33,40.77,36.79,248.09,33.35,5.851,678.65,12.1,167.52,1.0,726.0,13.036,131.3,60217.24,910
60234.98,2155.93,598.68,1.46,999.831,1.33,40.75,36.84,247.53,33.27,58.427,677.26,12.12,167.05,1.0,1.307,72.226,132.026,60270.8,915
60290.64,2158.25,599.59,1.45,999.831,1.33,40.75,36.84,248.04,33.26,58.327,676.95,12.11,166.91,1.0,13.084,72.382,133.365,60321.52,920
60267.49,2156.16,592.94,1.45,999.831,1.32,40.63,36.61,249.12,33.13,58.227,675.69,12.0,166.62,1.0,13.073,72.036,132.611,60291.63,925
60272.49,2153.9,587.94,1.45,999.831,1.32,40.57,36.6,249.54,33.1,5.809,673.38,12.01,165.52,1.0,13.111,72.142,133.504,60309.33,930
60945.24,2173.49,569.35,1.44,999.291,1.3,40.5,36.07,251.79,32.91,57.823,677.0,12.19,166.77,1.0,73.678,132.0,134.999,60977.96,935
63017.59,2217.65,540.53,1.61,1.0,1.32,41.09,34.52,264.39,62.789,33.04,705.52,11.97,162.81,1.0,13.459,74.199,132.033,62992.95,940
62992.64,2215.22,542.46,1.61,1.0,1.32,41.33,34.91,264.4,62.523,33.07,706.84,12.0,163.54,1.0,13.465,74.522,132.331,63003.4,945
62915.22,2210.01,542.49,1.61,1.0,1.33,41.25,34.91,264.17,62.269,33.06,706.68,11.98,163.42,1.0,74.602,13.427,132.532,62964.46,950
